name,rating,genres,tags
Project Justice,4.5,Fighting,"Singleplayer, Multiplayer"
Sensible Soccer,4.5,Sports,"Singleplayer, Multiplayer"
Mega Man Battle Network 6,4.5,"Action, RPG",Singleplayer
Jackie Chan Adventures,4.5,Action,"Singleplayer, exclusive"
Cheapshot,4.5,Massively Multiplayer,AR support
Bring You Home,4.5,"Adventure, Casual, Indie, Puzzle","Singleplayer, 2D, Family Friendly, Cute, Mystery"
Rumu,4.5,"Adventure, Casual, Indie","Singleplayer, Steam Achievements, Point & Click"
PetriDish.pw,4.5,"Casual, Massively Multiplayer, Indie","Partial Controller Support, Free to Play, Online multiplayer, stats, Cross-Platform Multiplayer"
Raw Danger!,4.5,"Action, Adventure",
The Secrets of Da Vinci: The Forbidden Manuscript,4.5,Adventure,
Football Manager 2005,4.5,"Strategy, Sports",
Ascendancy,4.5,Strategy,
Stunt GP,4.5,"Racing, Arcade","Singleplayer, Multiplayer, Split Screen"
The Incredible Machine Version 3.0,4.5,Puzzle,
Fury of the Furries,4.5,"Action, Arcade",Singleplayer
Seven Kingdoms,4.5,Strategy,
Skylanders SuperChargers,4.5,"Action, Adventure","battle, Destruction, character, Mod, history"
THEATRHYTHM FINAL FANTASY CURTAIN CALL,4.5,,role-playing
Outlaws + A Handful of Missions,4.5,"Action, Shooter, Adventure","Singleplayer, Steam Cloud, FPS, Western"
Heroes of Might and Magic 3: Complete,4.5,Strategy,"Singleplayer, Multiplayer, cloud saves"
G-senjou no Maou - The Devil on G-String,4.5,"Adventure, Simulation, Casual","Singleplayer, Steam Cloud, steam-trading-cards, Great Soundtrack, Story Rich"
Red Rope: Don't Fall Behind,4.5,"Action, Adventure, Indie","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Atmospheric"
Pocket Kingdom,4.5,"Adventure, Indie","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, steam-trading-cards"
Racket: Nx,4.5,"Action, Sports, Indie","Singleplayer, Multiplayer, Atmospheric, Sci-fi, Steam Leaderboards"
Gladiator Begins,4.5,"Action, Fighting","online, battle, friends, death"
DARKSTALKERS,4.5,Fighting,"Multiplayer, Controller, battle, night, memory"
Disgaea: Hour of Darkness,4.5,RPG,"Multiplayer, RPG, console, versus"
Capcom vs. SNK 2: Mark of the Millennium 2001,4.5,Fighting,history
The Greedy Cave,4.5,"Adventure, RPG","Magic, Story, achievements, party, secrets"
Grand Theft Auto: San Andreas,4.5,Action,"Singleplayer, Multiplayer, Atmospheric, Great Soundtrack, Story Rich"
Dungeon Hunter 4,4.5,"Action, RPG","Multiplayer, RPG, Controller, PvP, combat"
Gran Turismo 4,4.49,Racing,"exclusive, true exclusive"
Portal,4.49,"Action, Puzzle","Singleplayer, Steam Achievements, Atmospheric, Great Soundtrack, Story Rich"
Persona 3 Portable,4.49,"Adventure, RPG, Strategy","Singleplayer, Steam Achievements, Full controller support, Steam Cloud, Great Soundtrack"
BioShock: The Collection,4.49,"Action, Shooter","First-Person, online, collection, interactive, bundle"
Unicorn Overlord,4.48,"RPG, Strategy",
Silent Hill 2,4.48,"Action, Adventure","Singleplayer, Atmospheric, Great Soundtrack, Story Rich, Third Person"
Mass Effect 2: Lair of the Shadow Broker,4.48,"Action, Shooter, Adventure, RPG",RPG
Gravity Defied: Trial Racing,4.48,Simulation,"Gravity, simulator, demo"
Ace Combat 5: The Unsung War,4.48,Simulation,"exclusive, true exclusive, combat flight"
Fallout: New Vegas - Ultimate Edition,4.48,"Action, Shooter, RPG","Atmospheric, RPG, First-Person, Funny, Action-Adventure"
Kingdom Hearts HD 2.5 ReMIX,4.48,"Action, RPG",
Command & Conquer: Generals,4.48,Strategy,"exclusive, true exclusive"
